index,start,end,title,description
1,00:00:00,00:03:45,why_most_fail,Why 90% of startups fail in the first year — common patterns
2,00:03:45,00:09:20,pmf_framework,Product-market fit framework: the 3 signals to watch
3,00:09:20,00:15:10,case_study_notion,How Notion found PMF by pivoting from tools to workspace
4,00:15:10,00:21:00,distribution_strategy,Distribution channels that actually work for early-stage
5,00:21:00,00:28:30,pricing_mistakes,5 pricing mistakes and how to fix them
6,00:28:30,00:34:15,team_building,Hiring your first 10 employees — what matters most
7,00:34:15,00:40:00,fundraising_reality,Fundraising reality check: what VCs actually look for
8,00:40:00,00:45:50,metrics_that_matter,The only 3 metrics early-stage founders should track
9,00:45:50,00:50:20,scaling_too_early,Why scaling too early kills more startups than competition
10,00:50:20,00:55:00,closing_advice,Final advice: focus, patience, and the long game
